atlas_id,created_at,provider,lat,lon,width,height
24,2014-06-10 02:37:37,http://tile.stamen.com/boner/{Z}/{X}/{Y}.jpg,44.7262,5.7952,6.7621,3.3616
24,2014-06-10 02:37:37,http://tile.stamen.com/boner/{Z}/{X}/{Y}.jpg,44.7262,12.5629,6.7621,3.3616
24,2014-06-10 02:37:37,http://tile.stamen.com/boner/{Z}/{X}/{Y}.jpg,44.7262,19.3304,6.7621,3.3616
25,2013-04-19 06:53:42,http://tile.openstreetmap.org/{Z}/{X}/{Y}.png,47.0746,15.1304,0.144,0.0621
25,2013-04-19 06:53:42,http://tile.openstreetmap.org/{Z}/{X}/{Y}.png,47.0746,15.2673,0.1439,0.0621
25,2013-04-19 06:53:42,http://tile.openstreetmap.org/{Z}/{X}/{Y}.png,47.0746,15.4042,0.144,0.0621
25,2013-04-19 06:53:42,http://tile.openstreetmap.org/{Z}/{X}/{Y}.png,47.0125,15.1304,0.144,0.0621
25,2013-04-19 06:53:42,http://tile.openstreetmap.org/{Z}/{X}/{Y}.png,47.0125,15.2673,0.1439,0.0621
25,2013-04-19 06:53:42,http://tile.openstreetmap.org/{Z}/{X}/{Y}.png,47.0125,15.4042,0.144,0.0621
25,2013-04-19 06:53:42,http://tile.openstreetmap.org/{Z}/{X}/{Y}.png,46.9501,15.1304,0.144,0.0622
25,2013-04-19 06:53:42,http://tile.openstreetmap.org/{Z}/{X}/{Y}.png,46.9501,15.2673,0.1439,0.0622
25,2013-04-19 06:53:42,http://tile.openstreetmap.org/{Z}/{X}/{Y}.png,46.9501,15.4042,0.144,0.0622
25,2013-04-19 06:53:42,http://tile.openstreetmap.org/{Z}/{X}/{Y}.png,46.8877,15.1304,0.144,0.0623
25,2013-04-19 06:53:42,http://tile.openstreetmap.org/{Z}/{X}/{Y}.png,46.8877,15.2673,0.1439,0.0623
25,2013-04-19 06:53:42,http://tile.openstreetmap.org/{Z}/{X}/{Y}.png,46.8877,15.4042,0.144,0.0623
25,2013-04-19 06:53:43,http://tile.openstreetmap.org/{Z}/{X}/{Y}.png,46.8253,15.1304,0.144,0.0624
25,2013-04-19 06:53:43,http://tile.openstreetmap.org/{Z}/{X}/{Y}.png,46.8253,15.2673,0.1439,0.0624
25,2013-04-19 06:53:43,http://tile.openstreetmap.org/{Z}/{X}/{Y}.png,46.8253,15.4042,0.144,0.0624
25,2013-04-19 06:53:43,http://tile.openstreetmap.org/{Z}/{X}/{Y}.png,46.7628,15.1304,0.144,0.0624
25,2013-04-19 06:53:43,http://tile.openstreetmap.org/{Z}/{X}/{Y}.png,46.7628,15.2673,0.1439,0.0624
25,2013-04-19 06:53:43,http://tile.openstreetmap.org/{Z}/{X}/{Y}.png,46.7628,15.4042,0.144,0.0624
25,2013-04-19 06:53:43,http://tile.openstreetmap.org/{Z}/{X}/{Y}.png,46.7002,15.1304,0.144,0.0625
25,2013-04-19 06:53:43,http://tile.openstreetmap.org/{Z}/{X}/{Y}.png,46.7002,15.2673,0.1439,0.0625
25,2013-04-19 06:53:43,http://tile.openstreetmap.org/{Z}/{X}/{Y}.png,46.7002,15.4042,0.144,0.0625
26,2013-10-22 00:38:59,http://tile.openstreetmap.org/{Z}/{X}/{Y}.png,40.6653,16.6142,0.0221,0.0117
27,2012-11-22 09:25:12,http://tile.openstreetmap.org/{Z}/{X}/{Y}.png,43.5656,10.3244,0.0087,0.0044
27,2012-11-22 09:25:12,http://tile.openstreetmap.org/{Z}/{X}/{Y}.png,43.5656,10.3331,0.0086,0.0044
27,2012-11-22 09:25:12,http://tile.openstreetmap.org/{Z}/{X}/{Y}.png,43.5614,10.3244,0.0087,0.0044
27,2012-11-22 09:25:12,http://tile.openstreetmap.org/{Z}/{X}/{Y}.png,43.5614,10.3331,0.0086,0.0044
27,2012-11-22 09:25:12,http://tile.openstreetmap.org/{Z}/{X}/{Y}.png,43.5573,10.3244,0.0087,0.0044
27,2012-11-22 09:25:12,http://tile.openstreetmap.org/{Z}/{X}/{Y}.png,43.5573,10.3331,0.0086,0.0044
28,2012-08-07 14:45:27,http://tile.openstreetmap.org/{Z}/{X}/{Y}.png,51.7782,-4.1482,0.3332,0.1443
28,2012-08-07 14:45:27,http://tile.openstreetmap.org/{Z}/{X}/{Y}.png,51.7782,-3.815,0.3332,0.1443
28,2012-08-07 14:45:27,http://tile.openstreetmap.org/{Z}/{X}/{Y}.png,51.7782,-3.4818,0.3332,0.1443
28,2012-08-07 14:45:27,http://tile.openstreetmap.org/{Z}/{X}/{Y}.png,51.7782,-3.1486,0.3332,0.1443
28,2012-08-07 14:45:27,http://tile.openstreetmap.org/{Z}/{X}/{Y}.png,51.6407,-4.1482,0.3332,0.1447
28,2012-08-07 14:45:27,http://tile.openstreetmap.org/{Z}/{X}/{Y}.png,51.6407,-3.815,0.3332,0.1447
28,2012-08-07 14:45:27,http://tile.openstreetmap.org/{Z}/{X}/{Y}.png,51.6407,-3.4818,0.3332,0.1447
28,2012-08-07 14:45:27,http://tile.openstreetmap.org/{Z}/{X}/{Y}.png,51.6407,-3.1486,0.3332,0.1447
28,2012-08-07 14:45:27,http://tile.openstreetmap.org/{Z}/{X}/{Y}.png,51.5026,-4.1482,0.3332,0.1452
28,2012-08-07 14:45:27,http://tile.openstreetmap.org/{Z}/{X}/{Y}.png,51.5026,-3.815,0.3332,0.1452
28,2012-08-07 14:45:27,http://tile.openstreetmap.org/{Z}/{X}/{Y}.png,51.5026,-3.4818,0.3332,0.1452
28,2012-08-07 14:45:27,http://tile.openstreetmap.org/{Z}/{X}/{Y}.png,51.5026,-3.1486,0.3332,0.1452
29,2012-09-16 11:18:04,http://tile.openstreetmap.org/{Z}/{X}/{Y}.png,39.0717,-76.5815,0.0386,0.042
29,2012-09-16 11:18:04,http://tile.openstreetmap.org/{Z}/{X}/{Y}.png,39.0717,-76.5429,0.0386,0.042
30,2014-12-26 22:14:32,http://tile.stamen.com/bing-lite/{Z}/{X}/{Y}.jpg,-6.4756,106.8237,0.0016,0.0019
31,2015-01-23 10:41:23,http://tile.stamen.com/boner/{Z}/{X}/{Y}.jpg,13.6985,-89.2113,0.0244,0.015
32,2012-08-06 00:08:16,http://tile.stamen.com/toner-lite/{Z}/{X}/{Y}.png,-41.3045,174.7828,0.0296,0.0155
32,2012-08-06 00:08:16,http://tile.stamen.com/toner-lite/{Z}/{X}/{Y}.png,-41.3194,174.7828,0.0296,0.0155
32,2012-08-06 00:08:16,http://tile.stamen.com/toner-lite/{Z}/{X}/{Y}.png,-41.3342,174.7828,0.0296,0.0155
33,2014-10-14 00:31:38,http://tile.openstreetmap.org/{Z}/{X}/{Y}.png,37.8725,-25.8556,0.0797,0.0797
33,2014-10-14 00:31:38,http://tile.openstreetmap.org/{Z}/{X}/{Y}.png,37.8725,-25.1732,0.0798,0.0797
33,2014-10-14 00:31:38,http://tile.openstreetmap.org/{Z}/{X}/{Y}.png,37.8725,-25.0973,0.0798,0.0797
33,2014-10-14 00:31:38,http://tile.openstreetmap.org/{Z}/{X}/{Y}.png,37.8725,-25.7797,0.0797,0.0797
33,2014-10-14 00:31:38,http://tile.openstreetmap.org/{Z}/{X}/{Y}.png,37.8725,-25.7039,0.0798,0.0797
33,2014-10-14 00:31:38,http://tile.openstreetmap.org/{Z}/{X}/{Y}.png,37.8725,-25.6281,0.0798,0.0797
33,2014-10-14 00:31:38,http://tile.openstreetmap.org/{Z}/{X}/{Y}.png,37.8725,-25.5522,0.0798,0.0797
33,2014-10-14 00:31:38,http://tile.openstreetmap.org/{Z}/{X}/{Y}.png,37.8725,-25.4764,0.0797,0.0797
33,2014-10-14 00:31:38,http://tile.openstreetmap.org/{Z}/{X}/{Y}.png,37.8725,-25.4006,0.0797,0.0797
33,2014-10-14 00:31:38,http://tile.openstreetmap.org/{Z}/{X}/{Y}.png,37.8725,-25.3248,0.0798,0.0797
33,2014-10-14 00:31:38,http://tile.openstreetmap.org/{Z}/{X}/{Y}.png,37.8725,-25.249,0.0798,0.0797
33,2014-10-14 00:31:38,http://tile.openstreetmap.org/{Z}/{X}/{Y}.png,37.7926,-25.8556,0.0797,0.0798
33,2014-10-14 00:31:38,http://tile.openstreetmap.org/{Z}/{X}/{Y}.png,37.7926,-25.1732,0.0798,0.0798
33,2014-10-14 00:31:38,http://tile.openstreetmap.org/{Z}/{X}/{Y}.png,37.7926,-25.0973,0.0798,0.0798
33,2014-10-14 00:31:38,http://tile.openstreetmap.org/{Z}/{X}/{Y}.png,37.7926,-25.7797,0.0797,0.0798
33,2014-10-14 00:31:38,http://tile.openstreetmap.org/{Z}/{X}/{Y}.png,37.7926,-25.7039,0.0798,0.0798
33,2014-10-14 00:31:38,http://tile.openstreetmap.org/{Z}/{X}/{Y}.png,37.7926,-25.6281,0.0798,0.0798
33,2014-10-14 00:31:38,http://tile.openstreetmap.org/{Z}/{X}/{Y}.png,37.7926,-25.5522,0.0798,0.0798
33,2014-10-14 00:31:38,http://tile.openstreetmap.org/{Z}/{X}/{Y}.png,37.7926,-25.4764,0.0797,0.0798
33,2014-10-14 00:31:38,http://tile.openstreetmap.org/{Z}/{X}/{Y}.png,37.7926,-25.4006,0.0797,0.0798
