atlas_id,timestamp,provider,lat,lon,width,height
33,1413271898,http://tile.openstreetmap.org/{Z}/{X}/{Y}.png,37.7127,-25.5522,0.0798,0.0799
33,1413271898,http://tile.openstreetmap.org/{Z}/{X}/{Y}.png,37.7127,-25.4764,0.0797,0.0799
33,1413271898,http://tile.openstreetmap.org/{Z}/{X}/{Y}.png,37.7127,-25.4006,0.0797,0.0799
33,1413271898,http://tile.openstreetmap.org/{Z}/{X}/{Y}.png,37.7127,-25.3248,0.0798,0.0799
33,1413271898,http://tile.openstreetmap.org/{Z}/{X}/{Y}.png,37.7127,-25.249,0.0798,0.0799
34,1366297532,http://tile.stamen.com/toner-lite/{Z}/{X}/{Y}.png,44.5083,34.1352,0.049,0.0244
34,1366297532,http://tile.stamen.com/toner-lite/{Z}/{X}/{Y}.png,44.5083,34.1842,0.049,0.0244
34,1366297532,http://tile.stamen.com/toner-lite/{Z}/{X}/{Y}.png,44.4849,34.1352,0.049,0.0245
34,1366297532,http://tile.stamen.com/toner-lite/{Z}/{X}/{Y}.png,44.4849,34.1842,0.049,0.0245
35,1389146659,http://tile.openstreetmap.org/{Z}/{X}/{Y}.png,32.2477,77.1882,0.0745,0.0441
36,1412688794,http://tile.stamen.com/toner-lite/{Z}/{X}/{Y}.png,57.4703,-5.4383,14.2713,5.3603
36,1412688794,http://tile.stamen.com/toner-lite/{Z}/{X}/{Y}.png,57.4703,8.833,14.2712,5.3603
36,1412688794,http://tile.stamen.com/toner-lite/{Z}/{X}/{Y}.png,57.4703,23.1043,14.2713,5.3603
36,1412688794,http://tile.stamen.com/toner-lite/{Z}/{X}/{Y}.png,57.4703,37.3755,14.2712,5.3603
36,1412688794,http://tile.stamen.com/toner-lite/{Z}/{X}/{Y}.png,51.9943,-5.4383,14.2713,6.1386
36,1412688794,http://tile.stamen.com/toner-lite/{Z}/{X}/{Y}.png,51.9943,8.833,14.2712,6.1386
36,1412688794,http://tile.stamen.com/toner-lite/{Z}/{X}/{Y}.png,51.9943,23.1043,14.2713,6.1386
36,1412688794,http://tile.stamen.com/toner-lite/{Z}/{X}/{Y}.png,51.9943,37.3755,14.2712,6.1386
36,1412688794,http://tile.stamen.com/toner-lite/{Z}/{X}/{Y}.png,45.7584,-5.4383,14.2713,6.9565
36,1412688794,http://tile.stamen.com/toner-lite/{Z}/{X}/{Y}.png,45.7584,8.833,14.2712,6.9565
36,1412688794,http://tile.stamen.com/toner-lite/{Z}/{X}/{Y}.png,45.7584,23.1043,14.2713,6.9565
36,1412688794,http://tile.stamen.com/toner-lite/{Z}/{X}/{Y}.png,45.7584,37.3755,14.2712,6.9565
36,1412688794,http://tile.stamen.com/toner-lite/{Z}/{X}/{Y}.png,38.7421,-5.4383,14.2713,7.7781
36,1412688794,http://tile.stamen.com/toner-lite/{Z}/{X}/{Y}.png,38.7421,8.833,14.2712,7.7781
36,1412688794,http://tile.stamen.com/toner-lite/{Z}/{X}/{Y}.png,38.7421,23.1043,14.2713,7.7781
36,1412688794,http://tile.stamen.com/toner-lite/{Z}/{X}/{Y}.png,38.7421,37.3755,14.2712,7.7781
37,1419247276,http://tile.opencyclemap.org/cycle/{Z}/{X}/{Y}.png,-29.9618,28.7649,0.8295,0.5031
37,1419247276,http://tile.opencyclemap.org/cycle/{Z}/{X}/{Y}.png,-29.9618,29.5945,0.8295,0.5031
38,1418195635,http://tile.stamen.com/boner/{Z}/{X}/{Y}.jpg,19.0539,72.9073,0.0022,0.0015
38,1418195635,http://tile.stamen.com/boner/{Z}/{X}/{Y}.jpg,19.0539,72.9094,0.0021,0.0015
38,1418195635,http://tile.stamen.com/boner/{Z}/{X}/{Y}.jpg,19.0525,72.9073,0.0022,0.0014
38,1418195635,http://tile.stamen.com/boner/{Z}/{X}/{Y}.jpg,19.0525,72.9094,0.0021,0.0014
39,1411451079,http://tile.openstreetmap.org/{Z}/{X}/{Y}.png,-6.1162,106.7232,0.0078,0.0098
40,1379235301,http://tile.openstreetmap.org/{Z}/{X}/{Y}.png,48.8085,2.1247,0.0039,0.0016
